protein,rank
SYNJ1_HUMAN,0.00023250619090009022
RAB9B_HUMAN,0.0001941152411909677
AMPH_HUMAN,0.00023949292211753175
VPS51_HUMAN,0.00018979194810497227
UBQL2_HUMAN,0.0002741611898921733
STAM2_HUMAN,0.00024368716865907239
ARPC5_HUMAN,0.0002506171578103075
NK1R_HUMAN,0.00023129402673715592
IL7RA_HUMAN,0.00026807716395048684
DAB2_HUMAN,0.00025406606309213476
REPS2_HUMAN,0.0002468292222013105
STAM1_HUMAN,0.00024431378438806114
STON1_HUMAN,0.00025223126348481047
RAB5C_HUMAN,0.000267957725522059
CFTR_HUMAN,0.00027866095494741104
SNX18_HUMAN,0.0002473782581289612
SYT9_HUMAN,0.000245403261945148
FNBP1_HUMAN,0.00024319646820135168
KI13A_HUMAN,0.00020500736240120868
AP1S1_HUMAN,0.00031114248371799956
VACHT_HUMAN,0.0002291311090463549
NEU2_HUMAN,0.00022232164448965247
DVL2_HUMAN,0.00028292625699353905
BIN1_HUMAN,0.0002492277282280808
SNAG_HUMAN,0.0002600457847344459
CIP4_HUMAN,0.00026352930190810125
LRP2_HUMAN,0.0002549470955845678
CBL_HUMAN,0.00027425379806334676
SH3K1_HUMAN,0.0002462323016728264
ADRB2_HUMAN,0.00023116743453712585
AP1S2_HUMAN,0.00033287122337058645
SYT11_HUMAN,0.0002401415853054929
GAK_HUMAN,0.0003033140793111747
VPS54_HUMAN,0.00021277736754780603
REPS1_HUMAN,0.00024505734035120704
GNS_HUMAN,0.0004000569316269124
NECP1_HUMAN,0.0003035374245354194
STX16_HUMAN,0.00021178418724937477
MPRI_HUMAN,0.00029058780504074666
FCHO1_HUMAN,0.0002445070875490706
EGFR_HUMAN,0.0003676312236434817
TFR1_HUMAN,0.00032765548909463984
AP2S1_HUMAN,0.00025784836409565047
CLH1_HUMAN,0.00028090349230433986
EPS15_HUMAN,0.00029185972669958717
SNX9_HUMAN,0.000299595555726636
VTI1A_HUMAN,0.00021305489417847528
TRFE_HUMAN,0.0002816476607231873
GGA2_HUMAN,0.00015711499078885732
VPS53_HUMAN,0.00022135965700298857
PICAL_HUMAN,0.00029534670429321483
P3C2A_HUMAN,0.00027915059365601913
V2R_HUMAN,0.0002227522246308858
LDLR_HUMAN,0.0002414166138353843
VAMP7_HUMAN,0.0002861117691291018
WNT5A_HUMAN,0.00024186327710350663
SNAB_HUMAN,0.0002587927575663725
RAB5A_HUMAN,0.0002297939165623237
AP2M1_HUMAN,0.00025881052509030137
RABEK_HUMAN,0.0001404523162685659
DYN3_HUMAN,0.0002639670359378065
RHBT3_HUMAN,0.00013242205147588815
SYT1_HUMAN,0.00022244368853435045
OCRL_HUMAN,0.00026886964398285443
VAMP8_HUMAN,0.0002679128473564714
ITSN1_HUMAN,0.0002439317254001905
UBB_HUMAN,0.0003175519956624987
ARC1A_HUMAN,0.00025231644629698286
CLCA_HUMAN,0.00026180673647392596
HGS_HUMAN,0.00023905404229291607
RL40_HUMAN,0.0003435603394963671
VAMP3_HUMAN,0.0002446101858988085
DYN2_HUMAN,0.0003373514345136747
AP2A2_HUMAN,0.0002592628508495584
EPN1_HUMAN,0.000297987915384399
