protein,rank
DUS23_HUMAN,0.017369631709200598
SND1_HUMAN,0.017370879976866396
SESD1_HUMAN,0.017368213320527497
DOCK6_HUMAN,0.01736853988664076
SPEG_HUMAN,0.017369323190683076
STX16_HUMAN,0.017370634403822662
ANKL1_HUMAN,0.017369470654345597
PSMD4_HUMAN,0.01737080228751234
PFD1_HUMAN,0.017370876876131158
CLHC1_HUMAN,0.017369625843035294
GNAQ_HUMAN,0.01736879234847889
TMEDA_HUMAN,0.017371943236827902
SYNP2_HUMAN,0.017368822802139125
GLUT4_HUMAN,0.017369891024006153
EGFR_HUMAN,0.01736976984960532
GBB2_HUMAN,0.017368809185415994
MYO6_HUMAN,0.017369380544893245
RGL3_HUMAN,0.01736709762409219
MP2K1_HUMAN,0.01736988075249683
ANR29_HUMAN,0.0173687875284217
GSK3B_HUMAN,0.017370117909361556
KC1AL_HUMAN,0.01736875342902706
K7ERQ8_HUMAN,0.017370145227172062
KIF3B_HUMAN,0.017370377990679114
VPS18_HUMAN,0.01737072097905012
NMT2_HUMAN,0.017368785956147006
RGL2_HUMAN,0.017368528727582235
M3K9_HUMAN,0.017369284012371155
GUC2D_HUMAN,0.017368813690937308
RGS12_HUMAN,0.017369021271372798
ATP68_HUMAN,0.017372333427338092
VGFR2_HUMAN,0.017369302892348268
ANKK1_HUMAN,0.0173690463364574
RMD3_HUMAN,0.01737020827788891
HGF_HUMAN,0.017369201622346467
RGAP1_HUMAN,0.017370330115031064
STX6_HUMAN,0.017371195899683906
TRIB3_HUMAN,0.017369897257000593
UCK2_HUMAN,0.017369297354712303
MALR1_HUMAN,0.017369007142581792
PPP5_HUMAN,0.017370195216952017
LDHB_HUMAN,0.017370973615063227
PGM1_HUMAN,0.017370261198035315
TEC_HUMAN,0.01736911523275227
SPTN4_HUMAN,0.01736934763091433
P3C2A_HUMAN,0.01737003195034368
GBF1_HUMAN,0.017371171781366983
ARHG4_HUMAN,0.017368836451296294
GOGA5_HUMAN,0.017371888704641295
RAB21_HUMAN,0.017370509095354016
IKBA_HUMAN,0.01736982087397752
UCMA_HUMAN,0.017364659290285404
SSDH_HUMAN,0.017369517051158887
WDFY3_HUMAN,0.017369977943540026
AGAP3_HUMAN,0.01736839629984456
SCYL1_HUMAN,0.017369885616227803
PKN3_HUMAN,0.0173689561165426
DAPK3_HUMAN,0.017369314959952073
PKP3_HUMAN,0.017366813964580674
SC22C_HUMAN,0.017370865074921003
MLP3A_HUMAN,0.017370610266803626
AP2M1_HUMAN,0.017393544913243415
KANK4_HUMAN,0.017369305348326508
DAPK2_HUMAN,0.01736861510605049
CTRO_HUMAN,0.017398049219666274
DUS28_HUMAN,0.01736798822766155
KPCL_HUMAN,0.017369038804678553
HIPK4_HUMAN,0.017369337847733125
PLXC1_HUMAN,0.017367956773538633
EXC6B_HUMAN,0.017369228331490454
AR2BP_HUMAN,0.017367163249212697
DC1I2_HUMAN,0.017372113526366046
KLHL7_HUMAN,0.017368560890778047
PPIF_HUMAN,0.017370197677769206
RAB7A_HUMAN,0.01738769322141911
BSCL2_HUMAN,0.01736872246589066
PDLI5_HUMAN,0.01736885078371266
PKDCC_HUMAN,0.017369119385535918
ABI1_HUMAN,0.017369124739198796
TBD2A_HUMAN,0.017369711807145832
INS_HUMAN,0.01736991418523377
CYH3_HUMAN,0.017369382723807978
RPGF6_HUMAN,0.01736967336260829
MYO5B_HUMAN,0.017369431345689988
RAP2C_HUMAN,0.01736976986016469
GRP3_HUMAN,0.017368730473313655
ZNF24_HUMAN,0.017366892320036676
DOCK7_HUMAN,0.017369849383751156
ITSN1_HUMAN,0.017369769805780873
PLXB1_HUMAN,0.017368176597824397
PGM5_HUMAN,0.017369618195431258
ARL8A_HUMAN,0.017369736857087082
SOS1_HUMAN,0.017369019950388465
CAPZB_HUMAN,0.017370829096317982
PKP4_HUMAN,0.017367434632341403
SERC_HUMAN,0.017370389502669767
POTEI_HUMAN,0.017369650557547425
MK13_HUMAN,0.017369737183516767
VGFR1_HUMAN,0.01736911341037273
K1755_HUMAN,0.017365846027705197
RPGFL_HUMAN,0.017368855423990255
CLCA_HUMAN,0.017370147541116678
STXB5_HUMAN,0.017369188772508985
RFIP3_HUMAN,0.017369192594107248
PLK5_HUMAN,0.017369548505396275
ARHG8_HUMAN,0.017368994526351735
UBE2T_HUMAN,0.017370426550888843
RASA1_HUMAN,0.017369358861976613
VAMP3_HUMAN,0.017370280880720786
C2C4B_HUMAN,0.017366251884968854
RAB6B_HUMAN,0.017370088857959785
ACAP2_HUMAN,0.01737037556543765
PELO_HUMAN,0.017370351430095833
ARHGQ_HUMAN,0.017368440556259607
TNNC1_HUMAN,0.017368673651572963
EPN1_HUMAN,0.017369591205162332
1433G_HUMAN,0.01737125235976003
FCSD1_HUMAN,0.017367906058487464
KIF3C_HUMAN,0.0173695929921534
EPHA7_HUMAN,0.01736940398909475
KANK2_HUMAN,0.01736907418729998
TB10B_HUMAN,0.017369143693995837
A0A0A6YYH1_HUMAN,0.017367917305096396
MOGS_HUMAN,0.017425508020399737
SLIK5_HUMAN,0.017367031864843795
UBE2Z_HUMAN,0.017370450278082736
PK3CB_HUMAN,0.01736932832270644
VPP2_HUMAN,0.017371628499922825
PKHG7_HUMAN,0.01736727917824979
SCFD1_HUMAN,0.017371361815290764
PLAK_HUMAN,0.017369228912271096
TBE_HUMAN,0.01736979104153096
DP13B_HUMAN,0.017368405176831178
THADA_HUMAN,0.017370277502820143
SC31B_HUMAN,0.01737088340083426
RADIL_HUMAN,0.017369173593551678
ADAS_HUMAN,0.01743666484247258
TGFR2_HUMAN,0.01736972496550546
IQEC2_HUMAN,0.017368468403665273
UBIM_HUMAN,0.01737124125952877
DC1L1_HUMAN,0.017370679534285897
TNR6_HUMAN,0.01736924907805736
CDC6_HUMAN,0.017370213058027894
ATPB_HUMAN,0.01737115593759852
EPHAA_HUMAN,0.017369197220327495
KIFA3_HUMAN,0.01737031485404359
DAB2P_HUMAN,0.017368788835436234
AMHR2_HUMAN,0.017369184510365742
PK3CA_HUMAN,0.017369421815612594
PP2BB_HUMAN,0.017369063421417807
ZYX_HUMAN,0.017369136896087524
S14L5_HUMAN,0.017368094188186387
EPHA8_HUMAN,0.01736918820882224
KIF24_HUMAN,0.017371884767218147
TYK2_HUMAN,0.017369208651605225
COPA_HUMAN,0.017371085052827168
GAPD1_HUMAN,0.017370129174990822
GOSR1_HUMAN,0.017371033115917582
GNAT1_HUMAN,0.017368571491360712
TBC24_HUMAN,0.017368809571999645
ADCY3_HUMAN,0.017368541389938784
UACA_HUMAN,0.017369194248686843
ZNFX1_HUMAN,0.017369064671616138
CYFP1_HUMAN,0.017370185959362343
MET_HUMAN,0.017369457795336482
GRTP1_HUMAN,0.01736927769684154
DYRK2_HUMAN,0.017370339606226397
CAYP1_HUMAN,0.0173677429022683
RHBL3_HUMAN,0.017369324380584302
ACTH_HUMAN,0.017369770878689867
PAR6G_HUMAN,0.017368969462828454
UBP32_HUMAN,0.017369722022986124
TSSK4_HUMAN,0.017369237406455438
KAP0_HUMAN,0.01737009101439621
FES_HUMAN,0.017369893885065404
LIMK2_HUMAN,0.017369443832310875
ASPM_HUMAN,0.017370610005020944
ANR35_HUMAN,0.01736866595182275
ELMD2_HUMAN,0.017368009655420878
TXND5_HUMAN,0.017371818812155427
CALL3_HUMAN,0.017368741279195906
SRMS_HUMAN,0.01736899944931786
TGFR1_HUMAN,0.017369693498605523
SI1L3_HUMAN,0.017369936215818095
UB2D4_HUMAN,0.017370255777937615
ARAP1_HUMAN,0.017369068016476388
HERC4_HUMAN,0.017370363972329935
IKBB_HUMAN,0.017369842431621083
PLEK_HUMAN,0.0173692350547243
RL36_HUMAN,0.017393030071049868
SMG1_HUMAN,0.01737045401192452
IGF1R_HUMAN,0.017369646497138916
RHOG_HUMAN,0.017369323832328407
TBA3E_HUMAN,0.017369628750918856
PSD4_HUMAN,0.017367675106860995
HUNK_HUMAN,0.017369480595249957
TSN17_HUMAN,0.017365875976339075
YKT6_HUMAN,0.017371220313150453
UBE2A_HUMAN,0.01737047364641647
EPHA1_HUMAN,0.017369377081881434
DUS8_HUMAN,0.01736903397870911
PI5L1_HUMAN,0.017368754185615495
UBE2O_HUMAN,0.017370274771651484
IF2A_HUMAN,0.01737190933387263
AP1M1_HUMAN,0.01737053342287083
COPB_HUMAN,0.01737150707357366
LPXN_HUMAN,0.01736897831474967
IQEC1_HUMAN,0.017368407299611765
A6NGQ3_HUMAN,0.01736895068109214
MRCKB_HUMAN,0.01736997685704848
ANPRB_HUMAN,0.017368594208582035
ZDHC3_HUMAN,0.01736957650720157
DTX3_HUMAN,0.017365675304996966
KI20A_HUMAN,0.017370817898543497
AP1S3_HUMAN,0.0173687650256772
AP5M1_HUMAN,0.017370178616919252
LRC59_HUMAN,0.017369820828901802
ANKY2_HUMAN,0.01736956372607912
ARPC4_HUMAN,0.01736978897959171
CYB5B_HUMAN,0.017412415014966535
PGTA_HUMAN,0.01737003617218491
SURF4_HUMAN,0.01737177129064097
KANK3_HUMAN,0.017368612050031842
PI4KB_HUMAN,0.01737030051161712
STYX_HUMAN,0.017369359350833603
TPPC9_HUMAN,0.017371033629743612
FBX8_HUMAN,0.017369186121417773
KCC4_HUMAN,0.017369119817194526
NEMO_HUMAN,0.01736995185851667
ANR10_HUMAN,0.017369359544144928
PHLP1_HUMAN,0.017369156215056393
PLXA4_HUMAN,0.01736798127100905
RPGP1_HUMAN,0.017368334743701974
TNNC2_HUMAN,0.017369046829765495
RAB2A_HUMAN,0.017393723273955386
MYH6_HUMAN,0.017369301022414567
PKH4B_HUMAN,0.017367923873325142
MLKL_HUMAN,0.01736947372849591
KLH13_HUMAN,0.01737013490608881
RHG04_HUMAN,0.017368184454645424
CNGB1_HUMAN,0.017367648729244418
FMN2_HUMAN,0.01736915093472542
LCLT1_HUMAN,0.017369674396987073
GGA1_HUMAN,0.017370717085611522
UBE2W_HUMAN,0.01737028701539285
FGD3_HUMAN,0.017368315343556907
MYL3_HUMAN,0.017369008310198143
GNAI3_HUMAN,0.017368683808777496
GRIA2_HUMAN,0.01736889355750665
MK14_HUMAN,0.017369706103948078
GPN1_HUMAN,0.017369886029251498
JMJD6_HUMAN,0.01736996166919222
H7C0V5_HUMAN,0.0173694499706759
CYFP2_HUMAN,0.01736906920257799
GDIB_HUMAN,0.01737131896491326
PLCD_HUMAN,0.017369086011165755
SIAL_HUMAN,0.01736897339098458
ANS4B_HUMAN,0.017369143703367975
DUS6_HUMAN,0.017369115561246734
STB5L_HUMAN,0.01736863919779108
UB2V2_HUMAN,0.017370743448133805
NSF_HUMAN,0.017370799626160286
RHEB_HUMAN,0.017369742360837902
CDC5L_HUMAN,0.017370968365620985
KAP2_HUMAN,0.01740043128293924
TBA8_HUMAN,0.01736977143566586
DC1I1_HUMAN,0.017370277548313058
FMNL1_HUMAN,0.017369516148592903
TBB6_HUMAN,0.017370045425110826
CHSTF_HUMAN,0.017370352817888728
ACVL1_HUMAN,0.017369243531763296
S35F1_HUMAN,0.017367647889505365
KAP3_HUMAN,0.017394666115292265
PAR6B_HUMAN,0.01736916224372438
PROF4_HUMAN,0.017368571762422895
YTHD2_HUMAN,0.017370930994566325
GSK3A_HUMAN,0.01736985381373253
MTCH1_HUMAN,0.017476534473134075
AKD1B_HUMAN,0.017369113815558418
RAB1A_HUMAN,0.017391077754001845
GABP2_HUMAN,0.01736918332751894
KLH24_HUMAN,0.017368958027937663
PSD1_HUMAN,0.017368932451695327
TNI3K_HUMAN,0.017369195685802172
SHAN1_HUMAN,0.01736911850155307
GDIR3_HUMAN,0.017368472064834096
SC61B_HUMAN,0.01737203079153782
ST38L_HUMAN,0.01736811677098538
CCD12_HUMAN,0.01736849820858596
OTUB1_HUMAN,0.01737062599556873
MON2_HUMAN,0.017370115377729593
DYR1B_HUMAN,0.01736969041772965
ACTZ_HUMAN,0.017371581478462853
ANR42_HUMAN,0.01736949706252316
CAZA2_HUMAN,0.017370447565604595
WDFY4_HUMAN,0.017369305907281064
DHB1_HUMAN,0.017367833850045658
PP2BC_HUMAN,0.017368955020411372
OSBL7_HUMAN,0.01737003742075443
NGAP_HUMAN,0.017368717645482996
RPGF2_HUMAN,0.017368174831036032
RL22L_HUMAN,0.01737236616111665
P3C2B_HUMAN,0.01736985142719845
RB12B_HUMAN,0.0173697013116809
SC23B_HUMAN,0.017371648153130425
VDAC2_HUMAN,0.01737260894175952
ARAP2_HUMAN,0.017368848918159225
PCBP2_HUMAN,0.01737181295192233
PP2AB_HUMAN,0.01737028078435868
UB2L3_HUMAN,0.017370205462676126
KPCA_HUMAN,0.01736925795628618
EHD1_HUMAN,0.017370475632908795
RP1_HUMAN,0.017368687027567237
LYN_HUMAN,0.017369276126004626
VA0D1_HUMAN,0.017371166979413422
RAF1_HUMAN,0.017369916350922623
RAB5C_HUMAN,0.017391927400307844
TBB8B_HUMAN,0.017369906876909563
CAZA1_HUMAN,0.017370461831058538
CD59_HUMAN,0.0173707150527384
FHOD3_HUMAN,0.01736724890067138
RINL_HUMAN,0.017366289854682287
MINY1_HUMAN,0.017367948591327793
A20A1_HUMAN,0.017368721803026115
PHOS_HUMAN,0.01736773622723697
DIAP3_HUMAN,0.01736976347371595
CCNA2_HUMAN,0.017370428993889027
ASB7_HUMAN,0.017370390003167282
ADAP2_HUMAN,0.01736859589263638
ROR1_HUMAN,0.017369469003688676
ASB1_HUMAN,0.01737013816888174
DNJA1_HUMAN,0.017371865264885187
ARG35_HUMAN,0.017367782388676947
EZRI_HUMAN,0.017369864767955417
IRAK2_HUMAN,0.01736954116291155
KCC1G_HUMAN,0.017368757307400947
OSBL3_HUMAN,0.017369177065343498
